IP,isBad
20.141.211.185,True
20.141.214.207,True
20.141.214.244,True
20.141.216.224,True
20.141.218.137,True
20.141.219.10,True
20.141.219.12,True
20.141.223.147,True
20.141.223.161,True
20.141.225.147,True
20.141.225.37,True
20.141.225.82,True
20.141.227.158,True
20.141.230.109,True
20.141.230.134,True
20.141.230.18,True
20.141.231.120,True
20.141.235.1,True
20.141.236.236,True
20.141.238.9,True
20.141.240.169,True
20.141.243.75,True
20.141.245.250,True
20.141.247.207,True
20.141.25.180,True
20.141.255.183,True
20.141.255.41,True
20.141.34.27,True
20.141.34.98,True
20.141.36.50,True
20.141.40.176,True
20.141.42.116,True
20.141.42.89,True
20.141.47.31,True
20.141.48.63,True
20.141.49.192,True
20.141.51.22,True
20.141.51.230,True
20.141.52.223,True
20.141.53.10,True
20.141.55.22,True
20.141.59.224,True
20.141.59.57,True
20.141.63.17,True
20.141.64.21,True
20.141.68.74,True
20.141.69.131,True
20.141.71.54,True
20.141.72.37,True
20.141.72.50,True
20.141.73.28,True
20.141.73.97,True
20.141.74.151,True
20.141.75.180,True
20.141.80.1,True
20.141.81.210,True
20.141.82.242,True
20.141.83.205,True
20.141.90.48,True
20.141.9.167,True
20.141.92.85,True
20.141.95.188,True
20.141.95.77,True
34.239.173.174,True
41.84.159.10,True
41.84.159.113,True
41.84.159.123,True
41.84.159.130,True
41.84.159.170,True
41.84.159.182,True
41.84.159.195,True
41.84.159.216,True
41.84.159.222,True
41.84.159.35,True
41.84.159.49,True
41.84.159.50,True
41.84.159.54,True
41.84.159.73,True
41.84.159.88,True
41.84.159.93,True
41.84.159.97,True
45.58.190.82,True
50.63.202.33,True
50.63.202.36,True
50.63.202.39,True
50.63.202.41,True
50.63.202.49,True
50.63.202.54,True
50.63.202.56,True
50.63.202.58,True
52.170.43.150,True
52.171.135.15,True
52.171.141.69,True
54.164.147.101,True
64.32.22.101,True
70.39.125.243,True
71.152.53.1,True
71.152.53.10,True
71.152.53.104,True
71.152.53.105,True
71.152.53.11,True
71.152.53.128,True
71.152.53.129,True
71.152.53.130,True
71.152.53.131,True
71.152.53.136,True
71.152.53.137,True
71.152.53.138,True
71.152.53.139,True
71.152.53.149,True
71.152.53.150,True
71.152.53.151,True
71.152.53.156,True
71.152.53.157,True
71.152.53.158,True
71.152.53.159,True
71.152.53.160,True
71.152.53.161,True
71.152.53.162,True
71.152.53.163,True
71.152.53.168,True
71.152.53.169,True
71.152.53.170,True
71.152.53.171,True
71.152.53.180,True
71.152.53.181,True
71.152.53.182,True
71.152.53.188,True
71.152.53.189,True
71.152.53.190,True
71.152.53.191,True
71.152.53.192,True
71.152.53.194,True
71.152.53.2,True
71.152.53.200,True
71.152.53.201,True
71.152.53.202,True
71.152.53.21,True
71.152.53.22,True
71.152.53.224,True
71.152.53.23,True
71.152.53.234,True
71.152.53.29,True
71.152.53.3,True
71.152.53.30,True
71.152.53.31,True
71.152.53.32,True
71.152.53.33,True
71.152.53.34,True
71.152.53.35,True
71.152.53.40,True
71.152.53.41,True
71.152.53.42,True
71.152.53.43,True
71.152.53.52,True
71.152.53.53,True
71.152.53.54,True
71.152.53.55,True
71.152.53.60,True
71.152.53.61,True
71.152.53.62,True
71.152.53.66,True
71.152.53.72,True
